date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-07-14,29.5,24.02,24.4,19.3,37,,93,72.1,69.5,46,20.4,18.4,18.1,15.9,19,12.54,12,5,30,24,101.91,101.8,101.76,101.6,99.85,99.74,99.7,99.55,24100,24100,24100,24100,,,,,0,6.4,19.4,17.4,14.4,0,0,0,,5:49:00,1626256140,5.82,20:58:00,1626310680,20.97,15.15,7,8,29,29,20,20,,,,,,8,5,5,2,,,,
2021-07-15,30,24.23,24.85,19.7,38,,94,76.8,77,60,21.9,19.8,19.9,17.9,42,18.88,24,6,61,21,101.85,101.45,101.44,101.03,99.79,99.4,99.39,99,24100,22362.5,15250,6400,,,,,0,6.8,19.9,17.9,14.8,6.4,6.4,0,,5:50:00,1626342600,5.83,20:57:00,1626397020,20.95,15.12,7,9,28,28,18,18,,,,,,8,5.6,4.5,1,,,,
2021-07-16,24.6,20.86,21.6,18.6,28,,88,74,71,54,17.8,16,15.7,13.5,19,10.67,11.5,4,,,101.87,101.71,101.64,101.41,99.8,99.65,99.59,99.37,24100,24100,24100,24100,,,,,0,3.6,16.6,14.6,11.6,0,0,0,,5:51:00,1626429060,5.85,20:57:00,1626483420,20.95,15.1,7,9,24,26,16,18,,,,,,8,7.1,6,4,,,,
2021-07-17,22,20.23,20.39,18.8,26,,92,76.3,77.5,63,17.9,15.9,15.8,13.8,21,10.46,12,3,35,4,101.95,101.85,101.86,101.76,99.87,99.78,99.78,99.69,24100,20833.3,16900,9700,,,,,0,2.4,15.4,13.4,10.4,3.4,3.4,0,,5:51:00,1626515460,5.85,20:56:00,1626569760,20.93,15.08,3,3,20,20,18,19,,,,,,8,7.8,7.5,7,,,,
2021-07-18,29.4,23.52,23.75,18.1,35,,79,62.2,61,43,19.5,15.6,16.8,14.1,26,16.58,17,8,39,1,102.01,101.89,101.91,101.8,99.94,99.83,99.84,99.74,24100,23900,21700,19300,,,,,0,5.8,18.8,16.8,13.8,0,0,0,,5:52:00,1626601920,5.87,20:55:00,1626656100,20.92,15.05,8,8,29,29,19,19,,,,,,8,7.2,6,4,,,,
2021-07-19,29.2,24.56,24.15,19.1,36,,77,65.8,65.5,54,20.1,17.7,17.1,14.2,19,13.5,11.5,4,39,34,101.85,101.72,101.71,101.57,99.79,99.67,99.66,99.53,24100,16166.7,16100,8100,,,,,0,6.2,19.1,17.1,14.2,0,0,0,,5:53:00,1626688380,5.88,20:54:00,1626742440,20.9,15.02,8,8,30,30,19,21,,,,,,8,3,4,0,,,,
2021-07-20,29.5,22.96,24.3,19.1,36,,86,71.4,67.5,49,19.4,17.3,17,14.6,32,16.13,18.5,5,56,35,101.56,101.35,101.33,101.1,99.52,99.31,99.29,99.07,24100,15682.6,16900,9700,,,,,0,6.3,19.3,17.3,14.3,,,0,,5:54:00,1626774840,5.9,20:54:00,1626828840,20.9,15,7,7,28,28,16,17,,,,,,8,3.5,4,0,,,,
2021-07-21,24.8,19.82,19.85,14.9,25,,86,60.9,62,38,15.4,11.6,12,8.6,27,21.42,21.5,16,41,34,102.02,101.72,101.73,101.44,99.94,99.65,99.67,99.4,24100,24100,24100,24100,,,,,0,1.8,14.8,12.8,9.8,0,0,0,,5:55:00,1626861300,5.92,20:53:00,1626915180,20.88,14.97,8,8,25,25,15,16,,,,,,8,2.7,4,0,,,,
2021-07-22,26.1,20.48,19.8,13.5,27,,74,51.5,57,40,11.4,9.9,9.9,8.5,21,14.67,12,3,33,2,102.21,102.15,102.12,102.04,100.14,100.07,100.05,99.96,24100,24100,24100,24100,,,,,0,1.8,14.8,12.8,9.8,0,0,0,,5:56:00,1626947760,5.93,20:52:00,1627001520,20.87,14.93,9,9,26,26,15,17,,,,,,8,5.2,4,0,,,,
2021-07-23,26.1,21.16,20.39,14.7,28,,71,54,56.5,42,14.5,11.3,11.7,8.8,17,9.88,10.5,4,45,15,102.32,102.15,102.12,101.93,100.24,100.07,100.05,99.86,24100,24100,24100,24100,,,,,0,2.4,15.4,13.4,10.4,0,0,0,,5:57:00,1627034220,5.95,20:51:00,1627087860,20.85,14.9,8,8,27,27,17,17,,,,,,4,1,2,0,,,,
